run_id,created_at_utc,task_id,subtask_id,task_dir,tag,orchestrator_variant,success,termination_reason,error_type,judge_accepted,judge_force_accepted,wall_clock_seconds,plan_created,total_delegations,submission_attempts,judge_rejections,blueprint_matched,blueprint_id,blueprint_similarity,agent_curations_run,episode_curation_run,episode_curation_skipped,episode_familiarity,executed_agents,optimal_sequence,capability_boosted_agents,agent_discovery_sources,agent_retrieval_log,total_input_tokens,total_output_tokens,total_tokens,embedding_tokens,cost_llm,cost_embedding,cost_total,cost_by_model,playbook_confirm_votes,playbook_contradict_votes,playbook_bullets_added,playbook_bullets_pruned,playbook_unconfirmed_prunes,playbook_harm_prunes,playbook_consolidation_merges,playbook_evolution,num_internal_tool_calls,tool_call_history
,2026-07-02T15:18:29.203684+00:00,gaia-1-1f975693,0,tasks/gaia/gaia-1-1f975693,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,1,planned,,1,0,23.1,0,2,0,0,0,,0.0,0,0,1,-1.0,"[""audio_transcriber"", ""file_surfer""]",[],3,"{""audio_transcriber"": ""embedding"", ""translator"": ""embedding"", ""web_surfer"": ""embedding+capability"", ""file_surfer"": ""capability"", ""sentiment_analyzer"": ""embedding+capability""}","[{""call"": 1, ""capabilities"": [""audio transcription"", ""information extraction""], ""unmatched"": [], ""results"": [{""agent"": ""audio_transcriber"", ""score"": 0.9206, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""audio transcription""]}, {""agent"": ""translator"", ""score"": 0.8445, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""audio transcription""]}, {""agent"": ""web_surfer"", ""score"": 0.8346, ""source"": ""embedding+capability"", ""capability_score"": 0.8346, ""rank"": 3, ""matched_capabilities"": [""audio transcription"", ""information extraction""]}, {""agent"": ""file_surfer"", ""score"": 0.8288, ""source"": ""capability"", ""capability_score"": 0.8288, ""rank"": 4, ""matched_capabilities"": [""information extraction""]}, {""agent"": ""sentiment_analyzer"", ""score"": 0.8213, ""source"": ""embedding+capability"", ""capability_score"": 0.8213, ""rank"": 5, ""matched_capabilities"": [""information extraction""]}]}]",20622,529,21151,18,0.018006,2e-06,0.018008,"{""gpt-5.4-mini-2026-03-17"": 0.018006}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-02T15:18:35.843004+00:00,gaia-1-2d83110e,0,tasks/gaia/gaia-1-2d83110e,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,1,planned,,1,0,3.13,0,0,0,0,0,,0.0,0,0,1,-1.0,[],[],2,"{""translator"": ""embedding"", ""spell_checker"": ""embedding+capability"", ""sentiment_analyzer"": ""embedding+capability""}","[{""call"": 1, ""capabilities"": [""simple language understanding"", ""word antonyms""], ""unmatched"": [], ""results"": [{""agent"": ""translator"", ""score"": 0.7885, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""simple language understanding"", ""word antonyms""]}, {""agent"": ""spell_checker"", ""score"": 0.7813, ""source"": ""embedding+capability"", ""capability_score"": 0.7813, ""rank"": 2, ""matched_capabilities"": [""simple language understanding"", ""word antonyms""]}, {""agent"": ""sentiment_analyzer"", ""score"": 0.7783, ""source"": ""embedding+capability"", ""capability_score"": 0.7783, ""rank"": 3, ""matched_capabilities"": [""simple language understanding"", ""word antonyms""]}]}]",4886,164,5050,26,0.004452,3e-06,0.004455,"{""gpt-5.4-mini-2026-03-17"": 0.004452}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-02T15:18:42.760806+00:00,gaia-1-3cef3a44,0,tasks/gaia/gaia-1-3cef3a44,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,0,planned,,1,0,3.98,0,0,0,0,0,,0.0,0,0,1,-1.0,[],[],4,"{""web_surfer"": ""embedding+capability"", ""recipe_finder"": ""embedding"", ""file_surfer"": ""capability"", ""color_picker"": ""capability"", ""contact_manager"": ""capability""}","[{""call"": 1, ""capabilities"": [""food categorization"", ""botanical classification"", ""list extraction""], ""unmatched"": [], ""results"": [{""agent"": ""web_surfer"", ""score"": 0.8186, ""source"": ""embedding+capability"", ""capability_score"": 0.8186, ""rank"": 1, ""matched_capabilities"": [""food categorization"", ""botanical classification"", ""list extraction""]}, {""agent"": ""recipe_finder"", ""score"": 0.7977, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""food categorization""]}, {""agent"": ""file_surfer"", ""score"": 0.7975, ""source"": ""capability"", ""capability_score"": 0.7975, ""rank"": 3, ""matched_capabilities"": [""food categorization"", ""botanical classification"", ""list extraction""]}, {""agent"": ""color_picker"", ""score"": 0.7747, ""source"": ""capability"", ""capability_score"": 0.7747, ""rank"": 4, ""matched_capabilities"": [""botanical classification""]}, {""agent"": ""contact_manager"", ""score"": 0.7646, ""source"": ""capability"", ""capability_score"": 0.7646, ""rank"": 5, ""matched_capabilities"": [""list extraction""]}]}]",7943,230,8173,32,0.007061,3e-06,0.007064,"{""gpt-5.4-mini-2026-03-17"": 0.007061}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-02T15:18:47.383612+00:00,gaia-1-4b650a35,0,tasks/gaia/gaia-1-4b650a35,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,0,error,BadRequestError,-1,0,1.94,-1,0,0,0,-1,,0.0,0,-1,-1,-1.0,[],[],0,{},[],0,0,0,0,0.0,0.0,0.0,{},0,0,0,0,0,0,0,[],0,[]
,2026-07-02T15:19:09.707868+00:00,gaia-1-4fc2f1ae,0,tasks/gaia/gaia-1-4fc2f1ae,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,1,planned,,1,0,19.61,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""web_surfer""]",[],3,"{""web_surfer"": ""embedding+capability"", ""code_exec"": ""capability"", ""database"": ""embedding+capability"", ""contact_manager"": ""embedding+capability"", ""file_surfer"": ""capability""}","[{""call"": 1, ""capabilities"": [""web research"", ""fact retrieval"", ""Wikipedia article lookup""], ""unmatched"": [], ""results"": [{""agent"": ""web_surfer"", ""score"": 0.8723, ""source"": ""embedding+capability"", ""capability_score"": 0.8344, ""rank"": 1, ""matched_capabilities"": [""web research"", ""fact retrieval"", ""Wikipedia article lookup""]}, {""agent"": ""code_exec"", ""score"": 0.8006, ""source"": ""capability"", ""capability_score"": 0.8006, ""rank"": 2, ""matched_capabilities"": [""fact retrieval"", ""Wikipedia article lookup""]}, {""agent"": ""database"", ""score"": 0.8002, ""source"": ""embedding+capability"", ""capability_score"": 0.7781, ""rank"": 3, ""matched_capabilities"": [""web research"", ""fact retrieval""]}, {""agent"": ""contact_manager"", ""score"": 0.7948, ""source"": ""embedding+capability"", ""capability_score"": 0.7948, ""rank"": 4, ""matched_capabilities"": [""Wikipedia article lookup""]}, {""agent"": ""file_surfer"", ""score"": 0.7879, ""source"": ""capability"", ""capability_score"": 0.7879, ""rank"": 5, ""matched_capabilities"": [""web research""]}]}]",32879,513,33392,30,0.027122,3e-06,0.027125,"{""gpt-5.4-mini-2026-03-17"": 0.027122}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-02T15:19:28.196649+00:00,gaia-1-5a0c1adf,0,tasks/gaia/gaia-1-5a0c1adf,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,1,planned,,1,0,15.62,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""web_surfer""]",[],1,"{""web_surfer"": ""embedding+capability"", ""file_surfer"": ""capability"", ""data_anonymizer"": ""embedding"", ""database"": ""embedding"", ""translator"": ""embedding""}","[{""call"": 1, ""capabilities"": [""web research"", ""data extraction"", ""entity disambiguation""], ""unmatched"": [], ""results"": [{""agent"": ""web_surfer"", ""score"": 0.8723, ""source"": ""embedding+capability"", ""capability_score"": 0.8344, ""rank"": 1, ""matched_capabilities"": [""web research"", ""data extraction"", ""entity disambiguation""]}, {""agent"": ""file_surfer"", ""score"": 0.8264, ""source"": ""capability"", ""capability_score"": 0.8264, ""rank"": 2, ""matched_capabilities"": [""web research"", ""data extraction""]}, {""agent"": ""data_anonymizer"", ""score"": 0.8047, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""data extraction"", ""entity disambiguation""]}, {""agent"": ""database"", ""score"": 0.7978, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""web research""]}, {""agent"": ""translator"", ""score"": 0.7663, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""entity disambiguation""]}]}]",28024,682,28706,45,0.024292,5e-06,0.024297,"{""gpt-5.4-mini-2026-03-17"": 0.024292}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-02T15:21:47.160582+00:00,gaia-1-5cfb274c,0,tasks/gaia/gaia-1-5cfb274c,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,1,planned,,1,0,136.22,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""file_surfer""]",[],4,"{""file_surfer"": ""embedding+capability"", ""chart_builder"": ""embedding+capability"", ""spell_checker"": ""embedding+capability"", ""code_exec"": ""capability"", ""web_surfer"": ""capability""}","[{""call"": 1, ""capabilities"": [""spreadsheet inspection"", ""graph/path analysis""], ""unmatched"": [], ""results"": [{""agent"": ""file_surfer"", ""score"": 0.8404, ""source"": ""embedding+capability"", ""capability_score"": 0.8404, ""rank"": 1, ""matched_capabilities"": [""spreadsheet inspection"", ""graph/path analysis""]}, {""agent"": ""chart_builder"", ""score"": 0.8188, ""source"": ""embedding+capability"", ""capability_score"": 0.8188, ""rank"": 2, ""matched_capabilities"": [""graph/path analysis""]}, {""agent"": ""spell_checker"", ""score"": 0.7942, ""source"": ""embedding+capability"", ""capability_score"": 0.7754, ""rank"": 3, ""matched_capabilities"": [""spreadsheet inspection""]}, {""agent"": ""code_exec"", ""score"": 0.7896, ""source"": ""capability"", ""capability_score"": 0.7896, ""rank"": 4, ""matched_capabilities"": [""spreadsheet inspection""]}, {""agent"": ""web_surfer"", ""score"": 0.7874, ""source"": ""capability"", ""capability_score"": 0.7874, ""rank"": 5, ""matched_capabilities"": [""graph/path analysis""]}]}]",25784,1076,26860,39,0.024503,4e-06,0.024507,"{""gpt-5.4-mini-2026-03-17"": 0.024503}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-02T15:22:02.810078+00:00,gaia-1-7d4a7d1d,0,tasks/gaia/gaia-1-7d4a7d1d,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,1,planned,,1,0,12.91,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""web_surfer""]",[],1,"{""web_surfer"": ""embedding+capability"", ""file_surfer"": ""capability"", ""data_anonymizer"": ""embedding"", ""database"": ""embedding""}","[{""call"": 1, ""capabilities"": [""web research"", ""data extraction""], ""unmatched"": [], ""results"": [{""agent"": ""web_surfer"", ""score"": 0.8723, ""source"": ""embedding+capability"", ""capability_score"": 0.8344, ""rank"": 1, ""matched_capabilities"": [""web research"", ""data extraction""]}, {""agent"": ""file_surfer"", ""score"": 0.8264, ""source"": ""capability"", ""capability_score"": 0.8264, ""rank"": 2, ""matched_capabilities"": [""web research"", ""data extraction""]}, {""agent"": ""data_anonymizer"", ""score"": 0.8047, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""data extraction""]}, {""agent"": ""database"", ""score"": 0.7978, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""web research""]}]}]",19318,546,19864,41,0.017109,4e-06,0.017113,"{""gpt-5.4-mini-2026-03-17"": 0.017109}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-02T15:22:14.365581+00:00,gaia-1-8e867cd7,0,tasks/gaia/gaia-1-8e867cd7,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,1,planned,,1,0,8.84,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""web_surfer""]",[],1,"{""web_surfer"": ""embedding+capability"", ""file_surfer"": ""capability"", ""data_anonymizer"": ""embedding"", ""database"": ""embedding""}","[{""call"": 1, ""capabilities"": [""web research"", ""data extraction""], ""unmatched"": [], ""results"": [{""agent"": ""web_surfer"", ""score"": 0.8723, ""source"": ""embedding+capability"", ""capability_score"": 0.8344, ""rank"": 1, ""matched_capabilities"": [""web research"", ""data extraction""]}, {""agent"": ""file_surfer"", ""score"": 0.8264, ""source"": ""capability"", ""capability_score"": 0.8264, ""rank"": 2, ""matched_capabilities"": [""web research"", ""data extraction""]}, {""agent"": ""data_anonymizer"", ""score"": 0.8047, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""data extraction""]}, {""agent"": ""database"", ""score"": 0.7978, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""web research""]}]}]",19398,396,19794,28,0.016449,3e-06,0.016452,"{""gpt-5.4-mini-2026-03-17"": 0.016449}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-02T15:22:33.178640+00:00,gaia-1-9d191bce,0,tasks/gaia/gaia-1-9d191bce,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,followup_20260701/gaia_adaptive_testing_sparse_playbook_fold_1,1,planned,,1,0,16.16,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""web_surfer""]",[],3,"{""audio_transcriber"": ""embedding"", ""sentiment_analyzer"": ""embedding+capability"", ""web_surfer"": ""embedding+capability"", ""translator"": ""embedding"", ""file_surfer"": ""capability""}","[{""call"": 1, ""capabilities"": [""video transcription retrieval"", ""web/video content analysis""], ""unmatched"": [], ""results"": [{""agent"": ""audio_transcriber"", ""score"": 0.8779, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""video transcription retrieval""]}, {""agent"": ""sentiment_analyzer"", ""score"": 0.8279, ""source"": ""embedding+capability"", ""capability_score"": 0.8279, ""rank"": 2, ""matched_capabilities"": [""web/video content analysis""]}, {""agent"": ""web_surfer"", ""score"": 0.824, ""source"": ""embedding+capability"", ""capability_score"": 0.824, ""rank"": 3, ""matched_capabilities"": [""video transcription retrieval"", ""web/video content analysis""]}, {""agent"": ""translator"", ""score"": 0.8121, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""video transcription retrieval""]}, {""agent"": ""file_surfer"", ""score"": 0.8041, ""source"": ""capability"", ""capability_score"": 0.8041, ""rank"": 5, ""matched_capabilities"": [""web/video content analysis""]}]}]",18263,461,18724,32,0.01591,3e-06,0.015913,"{""gpt-5.4-mini-2026-03-17"": 0.01591}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
