run_id,created_at_utc,task_id,subtask_id,task_dir,tag,orchestrator_variant,success,termination_reason,error_type,judge_accepted,judge_force_accepted,wall_clock_seconds,plan_created,total_delegations,submission_attempts,judge_rejections,blueprint_matched,blueprint_id,blueprint_similarity,agent_curations_run,episode_curation_run,episode_curation_skipped,episode_familiarity,executed_agents,optimal_sequence,capability_boosted_agents,agent_discovery_sources,agent_retrieval_log,total_input_tokens,total_output_tokens,total_tokens,embedding_tokens,cost_llm,cost_embedding,cost_total,cost_by_model,playbook_confirm_votes,playbook_contradict_votes,playbook_bullets_added,playbook_bullets_pruned,playbook_unconfirmed_prunes,playbook_harm_prunes,playbook_consolidation_merges,playbook_evolution,num_internal_tool_calls,tool_call_history
,2026-07-03T08:37:34.052914+00:00,gaia-1-1f975693,0,tasks/gaia/gaia-1-1f975693,followup_20260701/gaia_baseline_lower_sparse,followup_20260701/gaia_baseline_lower_sparse,0,planned,,1,0,6.41,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""audio_transcriber""]",[],0,"{""audio_transcriber"": ""embedding"", ""translator"": ""embedding"", ""web_surfer"": ""embedding"", ""database"": ""embedding"", ""sentiment_analyzer"": ""embedding"", ""spell_checker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""audio transcription"", ""information extraction""], ""unmatched"": [], ""results"": [{""agent"": ""audio_transcriber"", ""score"": 0.9206, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""audio transcription""]}, {""agent"": ""translator"", ""score"": 0.8445, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""audio transcription""]}, {""agent"": ""web_surfer"", ""score"": 0.7931, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""information extraction""]}, {""agent"": ""database"", ""score"": 0.7925, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""information extraction""]}, {""agent"": ""sentiment_analyzer"", ""score"": 0.7885, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""information extraction""]}, {""agent"": ""spell_checker"", ""score"": 0.7727, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""audio transcription""]}]}]",8614,352,8966,19,0.00815,2e-06,0.008152,"{""gpt-5.4-mini-2026-03-17"": 0.00815}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T08:37:42.533456+00:00,gaia-1-2d83110e,0,tasks/gaia/gaia-1-2d83110e,followup_20260701/gaia_baseline_lower_sparse,followup_20260701/gaia_baseline_lower_sparse,1,planned,,1,0,5.67,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""translator""]",[],0,"{""translator"": ""embedding"", ""audio_transcriber"": ""embedding"", ""spell_checker"": ""embedding"", ""sentiment_analyzer"": ""embedding"", ""recipe_finder"": ""embedding"", ""file_archiver"": ""embedding""}","[{""call"": 1, ""capabilities"": [""simple language transformation"", ""answer extraction""], ""unmatched"": [], ""results"": [{""agent"": ""translator"", ""score"": 0.8269, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""simple language transformation""]}, {""agent"": ""audio_transcriber"", ""score"": 0.7925, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""simple language transformation""]}, {""agent"": ""spell_checker"", ""score"": 0.7798, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""simple language transformation""]}, {""agent"": ""sentiment_analyzer"", ""score"": 0.7644, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""answer extraction""]}, {""agent"": ""recipe_finder"", ""score"": 0.7602, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""answer extraction""]}, {""agent"": ""file_archiver"", ""score"": 0.7595, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""answer extraction""]}]}]",7780,257,8037,24,0.007069,2e-06,0.007071,"{""gpt-5.4-mini-2026-03-17"": 0.007069}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T08:37:49.311425+00:00,gaia-1-3cef3a44,0,tasks/gaia/gaia-1-3cef3a44,followup_20260701/gaia_baseline_lower_sparse,followup_20260701/gaia_baseline_lower_sparse,0,planned,,1,0,3.6,0,0,0,0,0,,0.0,0,0,1,-1.0,[],[],0,"{""recipe_finder"": ""embedding"", ""web_surfer"": ""embedding""}","[{""call"": 1, ""capabilities"": [""food categorization"", ""botanical classification"", ""list extraction""], ""unmatched"": [""botanical classification""], ""results"": [{""agent"": ""recipe_finder"", ""score"": 0.7977, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""food categorization"", ""list extraction""]}, {""agent"": ""web_surfer"", ""score"": 0.7505, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""list extraction""]}]}]",5612,224,5836,33,0.005284,3e-06,0.005287,"{""gpt-5.4-mini-2026-03-17"": 0.005284}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T08:39:57.562456+00:00,gaia-1-4fc2f1ae,0,tasks/gaia/gaia-1-4fc2f1ae,followup_20260701/gaia_baseline_lower_sparse,followup_20260701/gaia_baseline_lower_sparse,1,planned,,1,0,62.3,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""web_surfer""]",[],0,"{""web_surfer"": ""embedding"", ""database"": ""embedding"", ""recipe_finder"": ""embedding"", ""sentiment_analyzer"": ""embedding"", ""data_anonymizer"": ""embedding""}","[{""call"": 1, ""capabilities"": [""web research"", ""Wikipedia article lookup"", ""fact extraction""], ""unmatched"": [], ""results"": [{""agent"": ""web_surfer"", ""score"": 0.8723, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""web research"", ""Wikipedia article lookup""]}, {""agent"": ""database"", ""score"": 0.7978, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""web research"", ""Wikipedia article lookup""]}, {""agent"": ""recipe_finder"", ""score"": 0.7849, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""web research"", ""Wikipedia article lookup"", ""fact extraction""]}, {""agent"": ""sentiment_analyzer"", ""score"": 0.7761, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""fact extraction""]}, {""agent"": ""data_anonymizer"", ""score"": 0.758, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""fact extraction""]}]}]",222372,890,223262,30,0.171051,3e-06,0.171054,"{""gpt-5.4-mini-2026-03-17"": 0.171051}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T08:40:35.767138+00:00,gaia-1-5a0c1adf,0,tasks/gaia/gaia-1-5a0c1adf,followup_20260701/gaia_baseline_lower_sparse,followup_20260701/gaia_baseline_lower_sparse,1,planned,,1,0,35.51,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""web_surfer""]",[],0,"{""web_surfer"": ""embedding"", ""data_anonymizer"": ""embedding"", ""database"": ""embedding"", ""recipe_finder"": ""embedding"", ""translator"": ""embedding""}","[{""call"": 1, ""capabilities"": [""web research"", ""data extraction"", ""entity disambiguation""], ""unmatched"": [], ""results"": [{""agent"": ""web_surfer"", ""score"": 0.8723, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""web research"", ""data extraction""]}, {""agent"": ""data_anonymizer"", ""score"": 0.8047, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""data extraction"", ""entity disambiguation""]}, {""agent"": ""database"", ""score"": 0.8047, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""web research"", ""data extraction"", ""entity disambiguation""]}, {""agent"": ""recipe_finder"", ""score"": 0.7831, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""web research""]}, {""agent"": ""translator"", ""score"": 0.7663, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""entity disambiguation""]}]}]",28614,810,29424,44,0.025348,4e-06,0.025352,"{""gpt-5.4-mini-2026-03-17"": 0.025348}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T08:40:48.103706+00:00,gaia-1-5cfb274c,0,tasks/gaia/gaia-1-5cfb274c,followup_20260701/gaia_baseline_lower_sparse,followup_20260701/gaia_baseline_lower_sparse,1,planned,,1,0,9.59,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""code_reviewer""]",[],0,"{""spell_checker"": ""embedding"", ""image_resizer"": ""embedding"", ""code_reviewer"": ""embedding"", ""chart_builder"": ""embedding"", ""log_analyzer"": ""embedding"", ""fitness_tracker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""spreadsheet/image inspection"", ""graph/path analysis""], ""unmatched"": [], ""results"": [{""agent"": ""spell_checker"", ""score"": 0.7874, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""spreadsheet/image inspection""]}, {""agent"": ""image_resizer"", ""score"": 0.7763, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""spreadsheet/image inspection""]}, {""agent"": ""code_reviewer"", ""score"": 0.7744, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""spreadsheet/image inspection""]}, {""agent"": ""chart_builder"", ""score"": 0.7705, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""graph/path analysis""]}, {""agent"": ""log_analyzer"", ""score"": 0.767, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""graph/path analysis""]}, {""agent"": ""fitness_tracker"", ""score"": 0.7511, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""graph/path analysis""]}]}, {""call"": 2, ""capabilities"": [""spreadsheet/image inspection"", ""graph/path analysis""], ""unmatched"": [], ""results"": [{""agent"": ""spell_checker"", ""score"": 0.7874, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""spreadsheet/image inspection""]}, {""agent"": ""image_resizer"", ""score"": 0.7763, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""spreadsheet/image inspection""]}, {""agent"": ""code_reviewer"", ""score"": 0.7744, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""spreadsheet/image inspection""]}, {""agent"": ""chart_builder"", ""score"": 0.7705, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""graph/path analysis""]}, {""agent"": ""log_analyzer"", ""score"": 0.767, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""graph/path analysis""]}, {""agent"": ""fitness_tracker"", ""score"": 0.7511, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""graph/path analysis""]}]}]",11581,498,12079,70,0.011076,7e-06,0.011083,"{""gpt-5.4-mini-2026-03-17"": 0.011076}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T08:42:20.848504+00:00,gaia-1-7d4a7d1d,0,tasks/gaia/gaia-1-7d4a7d1d,followup_20260701/gaia_baseline_lower_sparse,followup_20260701/gaia_baseline_lower_sparse,0,planned,,1,0,20.16,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""web_surfer""]",[],0,"{""web_surfer"": ""embedding"", ""data_anonymizer"": ""embedding"", ""database"": ""embedding"", ""recipe_finder"": ""embedding""}","[{""call"": 1, ""capabilities"": [""web research"", ""data extraction""], ""unmatched"": [], ""results"": [{""agent"": ""web_surfer"", ""score"": 0.8722, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""web research"", ""data extraction""]}, {""agent"": ""data_anonymizer"", ""score"": 0.8047, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""data extraction""]}, {""agent"": ""database"", ""score"": 0.8047, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""web research"", ""data extraction""]}, {""agent"": ""recipe_finder"", ""score"": 0.783, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""web research""]}]}]",11251,437,11688,41,0.010536,4e-06,0.01054,"{""gpt-5.4-mini-2026-03-17"": 0.010536}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T08:42:32.173273+00:00,gaia-1-8e867cd7,0,tasks/gaia/gaia-1-8e867cd7,followup_20260701/gaia_baseline_lower_sparse,followup_20260701/gaia_baseline_lower_sparse,1,planned,,1,0,8.55,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""web_surfer""]",[],0,"{""web_surfer"": ""embedding"", ""data_anonymizer"": ""embedding"", ""database"": ""embedding"", ""recipe_finder"": ""embedding""}","[{""call"": 1, ""capabilities"": [""web research"", ""data extraction""], ""unmatched"": [], ""results"": [{""agent"": ""web_surfer"", ""score"": 0.8723, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""web research"", ""data extraction""]}, {""agent"": ""data_anonymizer"", ""score"": 0.8047, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""data extraction""]}, {""agent"": ""database"", ""score"": 0.8047, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""web research"", ""data extraction""]}, {""agent"": ""recipe_finder"", ""score"": 0.7831, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""web research""]}]}]",14594,413,15007,28,0.012928,3e-06,0.012931,"{""gpt-5.4-mini-2026-03-17"": 0.012928}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T08:43:14.156304+00:00,gaia-1-9d191bce,0,tasks/gaia/gaia-1-9d191bce,followup_20260701/gaia_baseline_lower_sparse,followup_20260701/gaia_baseline_lower_sparse,0,planned,,1,0,39.1,0,3,0,0,0,,0.0,0,0,1,-1.0,"[""web_surfer"", ""audio_transcriber""]",[],0,"{""audio_transcriber"": ""embedding"", ""translator"": ""embedding"", ""video_editor"": ""embedding"", ""web_surfer"": ""embedding"", ""code_reviewer"": ""embedding"", ""meeting_summarizer"": ""embedding"", ""recipe_finder"": ""embedding"", ""sentiment_analyzer"": ""embedding""}","[{""call"": 1, ""capabilities"": [""video transcription retrieval"", ""web/video content inspection"", ""quote extraction""], ""unmatched"": [], ""results"": [{""agent"": ""audio_transcriber"", ""score"": 0.8779, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""video transcription retrieval""]}, {""agent"": ""translator"", ""score"": 0.8121, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""video transcription retrieval""]}, {""agent"": ""video_editor"", ""score"": 0.8077, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""web/video content inspection""]}, {""agent"": ""web_surfer"", ""score"": 0.7897, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""web/video content inspection""]}, {""agent"": ""code_reviewer"", ""score"": 0.7881, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""web/video content inspection""]}, {""agent"": ""meeting_summarizer"", ""score"": 0.7847, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""video transcription retrieval"", ""quote extraction""]}, {""agent"": ""recipe_finder"", ""score"": 0.7521, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 7, ""matched_capabilities"": [""quote extraction""]}, {""agent"": ""sentiment_analyzer"", ""score"": 0.7513, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 8, ""matched_capabilities"": [""quote extraction""]}]}]",22710,874,23584,35,0.021228,3e-06,0.021231,"{""gpt-5.4-mini-2026-03-17"": 0.021228}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T08:43:19.765257+00:00,gaia-1-11af4e1a,0,tasks/gaia/gaia-1-11af4e1a,followup_20260701/gaia_baseline_lower_sparse,followup_20260701/gaia_baseline_lower_sparse,0,planned,,1,0,2.88,0,0,0,0,0,,0.0,0,0,1,-1.0,[],[],0,{},"[{""call"": 1, ""capabilities"": [""model architecture facts"", ""transformer encoder layer counts""], ""unmatched"": [""model architecture facts"", ""transformer encoder layer counts""], ""results"": []}]",4775,199,4974,37,0.004536,4e-06,0.00454,"{""gpt-5.4-mini-2026-03-17"": 0.004536}",0,0,0,0,0,0,0,[],1,"[""task_complete""]"
